Dam_Name,Region,Water_Level_m,Water_Inflow_cms,Water_Outflow_cms,Reservoir_Capacity_percent,Sedimentation_Rate_m_per_year,Temperature_C,Humidity_percent,Wind_Speed_kmh,Soil_Type,Evaporation_Rate_mm_per_day,Water_Usage,Water_Quality,Dam_Health
1286,4,0.11612176619913181,-1.4480514075031115,-0.07745661554172008,0.0,-0.8870569994974238,1.2623903230662064,1.307023071051531,-0.4452780176477978,0,0.5374327317467131,2,0,1
336,9,0.19290405421101706,0.5375188108163266,-0.08479350246020256,0.0,0.028771084274788795,1.2743826645464085,0.09920638172797232,-0.6800735420421771,1,1.0277560784342366,0,1,2
1175,4,0.3108407502046667,1.6104738701627697,1.0286704732421827,0.0,0.8709899525569111,-0.3012356601882407,0.739843581030063,-1.1525651117888023,1,1.5384053781556795,0,1,0
332,27,1.3948835343066315,1.4155873935817143,-0.4705999604637213,0.0,0.9505039597390829,0.4004243057600802,-0.45242984539375647,-0.8226594819180754,0,0.30045111407097924,0,0,0
771,15,-0.0008608131307848504,0.7444695246250502,1.562628561728484,0.0,-1.1734482202176142,0.5056408918731947,0.11875580209686155,0.01760487007665108,2,1.0042414020278165,0,0,1
1621,29,1.1938339300906855,1.4711923302962095,-0.07745661554172008,0.0,0.028771084274788795,0.8837023559327202,1.7117447506722034,1.2102368309830347,1,-1.0534777587978341,2,0,1
911,41,-1.6071621875120203,0.02509375072233664,0.6589907394268814,0.0,-1.1734482202176142,0.07841351099199191,-0.6077795072652146,-0.7551900655937558,0,-0.3138466999480536,0,0,1
373,25,-1.1679238059031722,0.632161982129236,-0.3049287322228521,0.0,1.8788369125717672,0.04193424184281517,0.6286030050980113,-1.20459753273956,2,0.10539299629627111,0,1,0
438,6,-1.9437343128817544,-0.7503901807457728,-1.9714500307842444,0.0,0.8726595636087124,0.46812668014147996,-1.1709912919003331,-0.7983682049752672,2,0.1444185143147018,1,1,0
1324,46,-0.4547268724620251,0.27742098204172944,-0.1401370365683635,0.0,0.6166515629998525,0.720896682099731,-1.3528760443146757,-1.40636964890168,0,0.7647585679528662,2,1,0
150,33,0.17556348796920043,1.3730751366928093,1.138662541954577,0.0,-1.1734482202176142,-0.5346207232708137,1.0185996821006384,1.5262472746842686,0,1.0365502217276001,2,0,1
560,6,0.20256927363581168,-0.6538960326901294,-2.2283730087113263,0.0,2.0063966887271247,-0.592118863212668,1.2352465764870157,1.3342197076360844,1,0.58444468619323,0,1,0
1143,46,-0.36370819716014496,-0.9412274036388951,-2.3494771889405226,0.0,2.029627173373968,-0.8058076944863533,0.6053976190813722,-0.6692285272832592,2,-1.5856078185704165,2,1,2
755,48,-1.041872236600369,0.0716809629346839,0.9678179075806485,0.0,-1.1734482202176142,0.1776141280910687,-1.222260579129191,-0.8876522064637621,0,-0.5210085545971593,0,0,0
1508,6,0.10723574251836465,-0.27071586849278895,-0.17502820666547483,0.0,-1.1734482202176142,-0.4871798538039484,0.02007767996542582,1.4506096359031806,0,0.2537786522343529,1,0,1
1487,38,-1.3424381678276256,0.6543912918288766,1.7799896057363576,0.0,-1.1734482202176142,0.1475497250109149,1.4755379943580715,-1.7585067445415918,2,0.027636537422690302,0,0,1
1570,6,1.5256194830242427,-0.5100678093233953,-0.07745661554172008,0.0,-0.7904386336061088,-0.3257152594334531,-0.7546718959212311,0.3680789667750575,0,-1.5941832820268418,2,0,0
2093,24,-0.16486325161745527,1.7838710569022642,-0.5567257889315123,0.0,0.7051330892947727,1.1918972587733183,1.1447883916741535,1.4882771514762159,2,1.683409833618124,1,0,0
592,24,0.059303589266093464,-1.3935642597244289,-1.2011479726993117,0.0,0.028771084274788795,-1.4984253686258602,-0.7645847251675492,0.04128090761024902,0,1.597494711377868,0,0,0
373,1,1.637920660716075,0.005799889435392411,1.8655358805998217,0.0,-0.8479095230872795,0.259930100233791,1.5768849982486224,-1.7542628169140768,2,0.9588718442673333,0,0,1
1842,7,-1.333339125963219,-0.8391961470781603,-0.07745661554172008,0.0,0.4973576728443754,0.27195530459194256,1.487279660534665,-0.9875041587728237,0,-1.557212026753224,2,1,0
827,0,-1.391930358209646,-1.928369679939588,-0.978748510897875,0.0,-1.1734482202176142,-0.4041677600796266,-1.634044730187689,1.5111403379406658,0,-0.24435794278052894,2,0,1
366,48,-0.9833605496269819,0.21996918299393348,0.9250161455390244,0.0,-0.6120237382311358,-0.27274010425178635,0.9712127320479259,-1.7043465313838675,0,-0.315938985824288,0,0,1
1,41,-0.8546962877215104,-0.30023465169592545,0.7443987560472216,0.0,-0.6534170299711417,1.0629385226479848,-1.181896697768471,-0.36278693860083605,0,0.20329995867495418,1,0,1
609,2,0.36922999828749564,-1.2033620062486081,0.20317250232117065,0.0,-0.4740009036363327,-0.7672100571353875,-1.0177677547581874,1.039883433393359,2,-1.5551974386415948,2,0,0
2038,15,1.5181869889688955,-0.04012679002806044,0.23138147120122218,0.0,-1.1734482202176142,1.4019115863604414,0.2758004202769287,-0.0686327049477366,1,0.9031065227503424,0,0,1
682,49,-2.4949683429675247,0.9994690105467052,-0.23434484808469783,0.0,-0.023404962903678106,0.536178973528347,-0.6217644305516974,-0.9391616393804526,0,1.7442496581889073,1,1,0
204,5,0.8663915488680209,0.5865837250520564,-0.16048380034485124,0.0,0.028771084274788795,0.9668482512221951,0.27245124778630847,0.36497928635119997,1,0.3343462909365171,0,0,0
240,6,-0.4623676007303257,0.028603135662072853,-0.07745661554172008,0.0,-1.1734482202176142,0.40345410683518024,-1.1776094440675273,-0.8280237827648481,0,1.5432327865501068,0,0,1
297,9,-0.5330266185475091,0.47450535799530114,-0.735026674096932,0.0,0.3888202785096737,0.0037101832907062817,-1.7090173000849163,-0.858259421694098,1,1.7461077402561567,0,1,0
1848,40,-0.4989684248263059,-0.060041344613678514,-0.10923590651967706,0.0,-1.1734482202176142,1.6497132961524015,0.2575503411674606,1.1032934418748037,0,-0.2283380887732949,1,0,1
1923,38,-0.851229218910318,-1.5414953782531458,0.3259872332025749,0.0,-1.1734482202176142,-0.7602297207599656,0.0647614028251149,-1.2169431262984105,1,0.590880182820748,0,0,1
845,0,2.059563814933664,-1.5321680864591047,-1.6694930712482077,0.0,1.99880901279498,-1.2129739338764418,0.6818633313496884,-1.7451907517963996,1,-1.0043320067991055,0,1,2
1720,6,-0.4454002198717596,-0.20099146783903807,-1.2803720053847685,0.0,1.3178725505180704,0.409366303470953,1.4264914652007654,-0.02116489020310996,1,-1.476454879611898,0,0,0
